web-scraper-order	web-scraper-start-url	show	show-href	headliner	band2	band3	location	picture-src	cost-advance	cost-doors	time-doors	age	series	tickets	tickets-href
1553788548-210	http://www.lh-st.com/	Stella Donnelly	http://www.lh-st.com/Shows/03-29-2019+Stella+Donnelly					/assets/root/images/artist/lhst/0329_StellaDonnellySITEv2.jpg							
1553788526-137	http://www.lh-st.com/	Choker	http://www.lh-st.com/Shows/04-02-2019+Choker								8:00 PM				
1553788522-116	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air					/assets/root/images/artist/lhst/0403_ForeignAirSITE.jpg							
1553788524-125	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise				Lincoln Hall								
1553788542-186	http://www.lh-st.com/	Hayes Carll	http://www.lh-st.com/Shows/03-30-2019+Hayes+Carll						$22.00 						
1553788538-175	http://www.lh-st.com/	"Benito Skinner 
The Overcompensating Tour"	http://www.lh-st.com/Shows/03-31-2019+Benito+Skinner											Buy	javascript:Global.animateCart();
1553788522-113	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air	Foreign Air											
1553788548-211	http://www.lh-st.com/	Stella Donnelly	http://www.lh-st.com/Shows/03-29-2019+Stella+Donnelly						$12.00 						
1553788530-149	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle			Video Dave									
1553788546-200	http://www.lh-st.com/	UpBeat Music Student Showcase	http://www.lh-st.com/Shows/03-30-2019+UpBeat+Music+Student+Showcase				Schubas								
1553788538-172	http://www.lh-st.com/	"Benito Skinner 
The Overcompensating Tour"	http://www.lh-st.com/Shows/03-31-2019+Benito+Skinner								7:30 PM				
1553788546-202	http://www.lh-st.com/	UpBeat Music Student Showcase	http://www.lh-st.com/Shows/03-30-2019+UpBeat+Music+Student+Showcase						$5.00 						
1553788551-218	http://www.lh-st.com/	Mansionair	http://www.lh-st.com/Shows/03-29-2019+Mansionair		Beacon										
1553788542-188	http://www.lh-st.com/	Hayes Carll	http://www.lh-st.com/Shows/03-30-2019+Hayes+Carll								9:00 PM				
1553788532-163	http://www.lh-st.com/	Tow'rs	http://www.lh-st.com/Shows/03-31-2019+Towrs							$10.00 [$13.00 Door] 18+					
1553788524-129	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise								8:00 PM				
1553788530-155	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle									18+			
1553788538-174	http://www.lh-st.com/	"Benito Skinner 
The Overcompensating Tour"	http://www.lh-st.com/Shows/03-31-2019+Benito+Skinner										The Overcompensating Tour		
1553788530-151	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle					/assets/root/images/artist/lhst/0401_OpenMikeEagleSITE.jpg							
1553788538-169	http://www.lh-st.com/	"Benito Skinner 
The Overcompensating Tour"	http://www.lh-st.com/Shows/03-31-2019+Benito+Skinner					/assets/root/images/artist/lhst/0331_BenitoSkinnerSITE.jpg							
1553788540-176	http://www.lh-st.com/	Pickin' Bubs	http://www.lh-st.com/Shows/03-31-2019+Acoustic+Brunch+Pickin+Bubs				Schubas								
1553788540-177	http://www.lh-st.com/	Pickin' Bubs	http://www.lh-st.com/Shows/03-31-2019+Acoustic+Brunch+Pickin+Bubs					/assets/root/images/artist/acousticbrunch/AcousticBrunchSite.jpg							
1553788528-146	http://www.lh-st.com/	"Schubas Open Mic 
Hosted by Tyler Snodgrass & Clare Austen-Smith"	http://www.lh-st.com/Shows/04-01-2019+Schubas+Open+Mic+Comedy										Hosted by Tyler Snodgrass & Clare Austen-Smith		
1553788526-136	http://www.lh-st.com/	Choker	http://www.lh-st.com/Shows/04-02-2019+Choker							$15.00 [$20.00 Doors] All Ages					
1553788524-123	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise		Jack Grace										
1553788546-203	http://www.lh-st.com/	UpBeat Music Student Showcase	http://www.lh-st.com/Shows/03-30-2019+UpBeat+Music+Student+Showcase							$5.00  All Ages					
1553788542-182	http://www.lh-st.com/	Hayes Carll	http://www.lh-st.com/Shows/03-30-2019+Hayes+Carll	Hayes Carll											
1553788551-223	http://www.lh-st.com/	Mansionair	http://www.lh-st.com/Shows/03-29-2019+Mansionair								8:00 PM				
1553788542-183	http://www.lh-st.com/	Hayes Carll	http://www.lh-st.com/Shows/03-30-2019+Hayes+Carll		Ben Dickey										
1553788542-185	http://www.lh-st.com/	Hayes Carll	http://www.lh-st.com/Shows/03-30-2019+Hayes+Carll					/assets/root/images/artist/lhst/0330_HayesCarllSITE.jpg							
1553788540-178	http://www.lh-st.com/	Pickin' Bubs	http://www.lh-st.com/Shows/03-31-2019+Acoustic+Brunch+Pickin+Bubs							[ FREE! ] All Ages					
1553788532-165	http://www.lh-st.com/	Tow'rs	http://www.lh-st.com/Shows/03-31-2019+Towrs									18+			
1553788524-124	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise			ginla									
1553788555-236	http://www.lh-st.com/	HÆLOS	http://www.lh-st.com/Shows/03-28-2019+HAELOS				Lincoln Hall								
1553788524-122	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise	Com Truise											
1553788522-121	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air											Buy	javascript:Global.animateCart();
1553788546-206	http://www.lh-st.com/	UpBeat Music Student Showcase	http://www.lh-st.com/Shows/03-30-2019+UpBeat+Music+Student+Showcase											Buy	javascript:Global.animateCart();
1553788532-166	http://www.lh-st.com/	Tow'rs	http://www.lh-st.com/Shows/03-31-2019+Towrs											Buy	javascript:Global.animateCart();
1553788555-238	http://www.lh-st.com/	HÆLOS	http://www.lh-st.com/Shows/03-28-2019+HAELOS						$20.00 						
1553788530-156	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle										LHST 30/10 Presents:		
1553788553-230	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara						$10.00 						
1553788553-234	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara											Buy	javascript:Global.animateCart();
1553788553-228	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara				Schubas								
1553788555-240	http://www.lh-st.com/	HÆLOS	http://www.lh-st.com/Shows/03-28-2019+HAELOS								7:30 PM				
1553788551-220	http://www.lh-st.com/	Mansionair	http://www.lh-st.com/Shows/03-29-2019+Mansionair					/assets/root/images/artist/lhst/0329_MansionairSITEv2.jpg							
